date,run_id,method,model,sparsity_or_bits,generations,offspring,calibration_data,sequence_length,calibration_tokens,fitness_fn,attention_impl,dtype,seed,wikitext2_ppl,train_ppl,runtime_minutes,gpu_name,gpu_vram_gb,cpu_ram_limit_gb,status,notes,output_dir
2026-06-01,depth_mistral7b_s0.125_seed1,depth_evo,mistralai/Mistral-7B-v0.3,0.125,10,8,wikitext2,2048,8192,kl,sdpa,float16,1,,,0.08,Tesla T4,15.00,16.00,failed,last_successful_step=depth_search_process_started; command_exit_code=1; parser_exit_code=1,outputs/experiments/depth_mistral7b_s0.125_seed1
2026-06-01,depth_mistral7b_s0.125_seed1,depth_evo,mistralai/Mistral-7B-v0.3,0.125,10,8,wikitext2,2048,8192,kl,sdpa,float16,1,6.75,6.27e+00,64.22,Tesla T4,15.00,16.00,completed,last_successful_step=final_evaluation; dropped_attn_modules=4; dropped_mlp_modules=4,outputs/experiments/depth_mistral7b_s0.125_seed1
2026-06-01,depth_mistral7b_s0.25_seed1,depth_evo,mistralai/Mistral-7B-v0.3,0.25,10,8,wikitext2,2048,8192,kl,sdpa,float16,1,14.70,1.33e+01,56.30,Tesla T4,15.00,16.00,completed,last_successful_step=final_evaluation; dropped_attn_modules=8; dropped_mlp_modules=8,outputs/experiments/depth_mistral7b_s0.25_seed1
2026-06-01,depth_mistral7b_s0.375_seed1,depth_evo,mistralai/Mistral-7B-v0.3,0.375,10,8,wikitext2,2048,8192,kl,sdpa,float16,1,51.69,4.82e+01,46.08,Tesla T4,15.00,16.00,completed,last_successful_step=final_evaluation; dropped_attn_modules=12; dropped_mlp_modules=12,outputs/experiments/depth_mistral7b_s0.375_seed1
2026-06-01,depth_mistral7b_s0.50_seed1,depth_evo,mistralai/Mistral-7B-v0.3,0.50,10,8,wikitext2,2048,8192,kl,sdpa,float16,1,371.75,3.37e+02,37.00,Tesla T4,15.00,16.00,completed,last_successful_step=final_evaluation; dropped_attn_modules=16; dropped_mlp_modules=16,outputs/experiments/depth_mistral7b_s0.50_seed1
2026-06-01,depth_mistral7b_s0.375_g20_seed1,depth_evo,mistralai/Mistral-7B-v0.3,0.375,20,8,wikitext2,2048,8192,kl,sdpa,float16,1,26.00,2.45e+01,87.60,Tesla T4,15.00,16.00,completed,last_successful_step=final_evaluation; dropped_attn_modules=12; dropped_mlp_modules=12,outputs/experiments/depth_mistral7b_s0.375_g20_seed1
2026-06-01,depth_mistral7b_s0.375_g20_seed1_retry1,depth_evo,mistralai/Mistral-7B-v0.3,0.375,20,8,wikitext2,2048,8192,kl,sdpa,float16,1,26.00,2.45e+01,87.92,Tesla T4,15.00,16.00,completed,last_successful_step=final_evaluation; dropped_attn_modules=12; dropped_mlp_modules=12,outputs/experiments/depth_mistral7b_s0.375_g20_seed1_retry1
2026-06-01,dense_mistral7b_seed1,dense,mistralai/Mistral-7B-v0.3,,,,,2048,,,sdpa,float16,1,5.35,,6.40,Tesla T4,15.00,16.00,completed,last_successful_step=final_evaluation,outputs/experiments/dense_mistral7b_seed1
2026-06-01,baseline_random_mistral7b_s0.125_seed1,depth_baseline_random,mistralai/Mistral-7B-v0.3,0.125,,,wikitext2,2048,8192,,sdpa,float16,1,,,0.08,Tesla T4,15.00,16.00,failed,last_successful_step=baseline_evaluation_process_started; command_exit_code=1; reference_config=results/runs/depth_mistral7b_s0.125_seed1/layer_drop_config.txt; calibration_seed=1; protect_layer_zero=0,outputs/experiments/baseline_random_mistral7b_s0.125_seed1
2026-06-01,baseline_random_mistral7b_s0.125_seed1_retry1,depth_baseline_random,mistralai/Mistral-7B-v0.3,0.125,,,wikitext2,2048,8192,,sdpa,float16,1,,,0.73,Tesla T4,15.00,16.00,failed,last_successful_step=baseline_evaluation_process_started; command_exit_code=1; reference_config=results/runs/depth_mistral7b_s0.125_seed1/layer_drop_config.txt; calibration_seed=1; protect_layer_zero=0,outputs/experiments/baseline_random_mistral7b_s0.125_seed1_retry1
2026-06-01,baseline_random_mistral7b_s0.125_seed1_retry2,depth_baseline_random,mistralai/Mistral-7B-v0.3,0.125,,,wikitext2,2048,8192,,sdpa,float16,1,21.50,1.96e+01,5.43,Tesla T4,15.00,16.00,completed,last_successful_step=final_evaluation; reference_config=results/runs/depth_mistral7b_s0.125_seed1/layer_drop_config.txt; calibration_seed=1; dropped_attn_modules=4; dropped_mlp_modules=4; protect_layer_zero=0,outputs/experiments/baseline_random_mistral7b_s0.125_seed1_retry2
2026-06-01,baseline_random_mistral7b_s0.125_seed2,depth_baseline_random,mistralai/Mistral-7B-v0.3,0.125,,,wikitext2,2048,8192,,sdpa,float16,2,11.29,1.10e+01,5.90,Tesla T4,15.00,16.00,completed,last_successful_step=final_evaluation; reference_config=results/runs/depth_mistral7b_s0.125_seed1/layer_drop_config.txt; calibration_seed=1; dropped_attn_modules=4; dropped_mlp_modules=4; protect_layer_zero=0,outputs/experiments/baseline_random_mistral7b_s0.125_seed2
2026-06-01,baseline_random_mistral7b_s0.125_seed3,depth_baseline_random,mistralai/Mistral-7B-v0.3,0.125,,,wikitext2,2048,8192,,sdpa,float16,3,,,0.75,Tesla T4,15.00,16.00,failed,last_successful_step=baseline_evaluation_process_started; command_exit_code=1; reference_config=results/runs/depth_mistral7b_s0.125_seed1/layer_drop_config.txt; calibration_seed=1; protect_layer_zero=0,outputs/experiments/baseline_random_mistral7b_s0.125_seed3
2026-06-01,baseline_random_mistral7b_s0.125_seed3_retry1,depth_baseline_random,mistralai/Mistral-7B-v0.3,0.125,,,wikitext2,2048,8192,,sdpa,float16,3,38048.00,1.68e+04,5.48,Tesla T4,15.00,16.00,completed,last_successful_step=final_evaluation; reference_config=results/runs/depth_mistral7b_s0.125_seed1/layer_drop_config.txt; calibration_seed=1; dropped_attn_modules=4; dropped_mlp_modules=4; protect_layer_zero=0,outputs/experiments/baseline_random_mistral7b_s0.125_seed3_retry1
2026-06-01,baseline_random_mistral7b_s0.25_seed1,depth_baseline_random,mistralai/Mistral-7B-v0.3,0.25,,,wikitext2,2048,8192,,sdpa,float16,1,31.36,2.71e+01,5.03,Tesla T4,15.00,16.00,completed,last_successful_step=final_evaluation; reference_config=results/runs/depth_mistral7b_s0.25_seed1/layer_drop_config.txt; calibration_seed=1; dropped_attn_modules=8; dropped_mlp_modules=8; protect_layer_zero=0,outputs/experiments/baseline_random_mistral7b_s0.25_seed1
2026-06-02,baseline_random_mistral7b_s0.25_seed2,depth_baseline_random,mistralai/Mistral-7B-v0.3,0.25,,,wikitext2,2048,8192,,sdpa,float16,2,2490.00,2.55e+03,5.03,Tesla T4,15.00,16.00,completed,last_successful_step=final_evaluation; reference_config=results/runs/depth_mistral7b_s0.25_seed1/layer_drop_config.txt; calibration_seed=1; dropped_attn_modules=8; dropped_mlp_modules=8; protect_layer_zero=0,outputs/experiments/baseline_random_mistral7b_s0.25_seed2
2026-06-02,baseline_random_mistral7b_s0.25_seed3,depth_baseline_random,mistralai/Mistral-7B-v0.3,0.25,,,wikitext2,2048,8192,,sdpa,float16,3,13784.00,8.56e+03,5.18,Tesla T4,15.00,16.00,completed,last_successful_step=final_evaluation; reference_config=results/runs/depth_mistral7b_s0.25_seed1/layer_drop_config.txt; calibration_seed=1; dropped_attn_modules=8; dropped_mlp_modules=8; protect_layer_zero=0,outputs/experiments/baseline_random_mistral7b_s0.25_seed3
2026-06-02,baseline_random_mistral7b_s0.375_seed1,depth_baseline_random,mistralai/Mistral-7B-v0.3,0.375,,,wikitext2,2048,8192,,sdpa,float16,1,10736.00,3.89e+03,4.62,Tesla T4,15.00,16.00,completed,last_successful_step=final_evaluation; reference_config=results/runs/depth_mistral7b_s0.375_seed1/layer_drop_config.txt; calibration_seed=1; dropped_attn_modules=12; dropped_mlp_modules=12; protect_layer_zero=0,outputs/experiments/baseline_random_mistral7b_s0.375_seed1
2026-06-02,baseline_random_mistral7b_s0.375_seed2,depth_baseline_random,mistralai/Mistral-7B-v0.3,0.375,,,wikitext2,2048,8192,,sdpa,float16,2,4476.00,3.46e+03,4.67,Tesla T4,15.00,16.00,completed,last_successful_step=final_evaluation; reference_config=results/runs/depth_mistral7b_s0.375_seed1/layer_drop_config.txt; calibration_seed=1; dropped_attn_modules=12; dropped_mlp_modules=12; protect_layer_zero=0,outputs/experiments/baseline_random_mistral7b_s0.375_seed2
2026-06-02,baseline_random_mistral7b_s0.375_seed3,depth_baseline_random,mistralai/Mistral-7B-v0.3,0.375,,,wikitext2,2048,8192,,sdpa,float16,3,1158.00,1.21e+03,4.40,Tesla T4,15.00,16.00,completed,last_successful_step=final_evaluation; reference_config=results/runs/depth_mistral7b_s0.375_seed1/layer_drop_config.txt; calibration_seed=1; dropped_attn_modules=12; dropped_mlp_modules=12; protect_layer_zero=0,outputs/experiments/baseline_random_mistral7b_s0.375_seed3
2026-06-02,baseline_random_mistral7b_s0.50_seed1,depth_baseline_random,mistralai/Mistral-7B-v0.3,0.50,,,wikitext2,2048,8192,,sdpa,float16,1,8488.00,9.62e+03,3.97,Tesla T4,15.00,16.00,completed,last_successful_step=final_evaluation; reference_config=results/runs/depth_mistral7b_s0.50_seed1/layer_drop_config.txt; calibration_seed=1; dropped_attn_modules=16; dropped_mlp_modules=16; protect_layer_zero=0,outputs/experiments/baseline_random_mistral7b_s0.50_seed1
2026-06-02,baseline_random_mistral7b_s0.50_seed2,depth_baseline_random,mistralai/Mistral-7B-v0.3,0.50,,,wikitext2,2048,8192,,sdpa,float16,2,22544.00,1.69e+04,3.82,Tesla T4,15.00,16.00,completed,last_successful_step=final_evaluation; reference_config=results/runs/depth_mistral7b_s0.50_seed1/layer_drop_config.txt; calibration_seed=1; dropped_attn_modules=16; dropped_mlp_modules=16; protect_layer_zero=0,outputs/experiments/baseline_random_mistral7b_s0.50_seed2
2026-06-02,baseline_random_mistral7b_s0.50_seed3,depth_baseline_random,mistralai/Mistral-7B-v0.3,0.50,,,wikitext2,2048,8192,,sdpa,float16,3,,,3.58,Tesla T4,15.00,16.00,failed,last_successful_step=baseline_evaluation_process_started; command_exit_code=1; reference_config=results/runs/depth_mistral7b_s0.50_seed1/layer_drop_config.txt; calibration_seed=1; protect_layer_zero=0,outputs/experiments/baseline_random_mistral7b_s0.50_seed3
2026-06-02,baseline_late_layer_mistral7b_s0.125_seed1,depth_baseline_late_layer,mistralai/Mistral-7B-v0.3,0.125,,,wikitext2,2048,8192,,sdpa,float16,1,,,0.08,NVIDIA A40,44.99,16.00,failed,last_successful_step=baseline_evaluation_process_started; command_exit_code=1; reference_config=results/runs/depth_mistral7b_s0.125_seed1/layer_drop_config.txt; calibration_seed=1; protect_layer_zero=0,outputs/experiments/baseline_late_layer_mistral7b_s0.125_seed1
2026-06-02,baseline_late_layer_mistral7b_s0.25_seed1,depth_baseline_late_layer,mistralai/Mistral-7B-v0.3,0.25,,,wikitext2,2048,8192,,sdpa,float16,1,,,0.10,NVIDIA A40,44.99,16.00,failed,last_successful_step=baseline_evaluation_process_started; command_exit_code=1; reference_config=results/runs/depth_mistral7b_s0.25_seed1/layer_drop_config.txt; calibration_seed=1; protect_layer_zero=0,outputs/experiments/baseline_late_layer_mistral7b_s0.25_seed1
2026-06-02,baseline_late_layer_mistral7b_s0.375_seed1,depth_baseline_late_layer,mistralai/Mistral-7B-v0.3,0.375,,,wikitext2,2048,8192,,sdpa,float16,1,,,0.07,NVIDIA A40,44.99,16.00,failed,last_successful_step=baseline_evaluation_process_started; command_exit_code=1; reference_config=results/runs/depth_mistral7b_s0.375_seed1/layer_drop_config.txt; calibration_seed=1; protect_layer_zero=0,outputs/experiments/baseline_late_layer_mistral7b_s0.375_seed1
2026-06-02,baseline_late_layer_mistral7b_s0.50_seed1,depth_baseline_late_layer,mistralai/Mistral-7B-v0.3,0.50,,,wikitext2,2048,8192,,sdpa,float16,1,,,0.07,NVIDIA A40,44.99,16.00,failed,last_successful_step=baseline_evaluation_process_started; command_exit_code=1; reference_config=results/runs/depth_mistral7b_s0.50_seed1/layer_drop_config.txt; calibration_seed=1; protect_layer_zero=0,outputs/experiments/baseline_late_layer_mistral7b_s0.50_seed1
2026-06-02,baseline_late_layer_mistral7b_s0.125_seed1_retry1,depth_baseline_late_layer,mistralai/Mistral-7B-v0.3,0.125,,,wikitext2,2048,8192,,sdpa,float16,1,61.16,6.41e+01,1.77,NVIDIA A40,44.99,16.00,completed,last_successful_step=final_evaluation; reference_config=results/runs/depth_mistral7b_s0.125_seed1/layer_drop_config.txt; calibration_seed=1; dropped_attn_modules=4; dropped_mlp_modules=4; protect_layer_zero=0,outputs/experiments/baseline_late_layer_mistral7b_s0.125_seed1_retry1
2026-06-02,baseline_late_layer_mistral7b_s0.25_seed1_retry1,depth_baseline_late_layer,mistralai/Mistral-7B-v0.3,0.25,,,wikitext2,2048,8192,,sdpa,float16,1,541.00,6.78e+02,1.52,NVIDIA A40,44.99,16.00,completed,last_successful_step=final_evaluation; reference_config=results/runs/depth_mistral7b_s0.25_seed1/layer_drop_config.txt; calibration_seed=1; dropped_attn_modules=8; dropped_mlp_modules=8; protect_layer_zero=0,outputs/experiments/baseline_late_layer_mistral7b_s0.25_seed1_retry1
2026-06-02,baseline_late_layer_mistral7b_s0.375_seed1_retry1,depth_baseline_late_layer,mistralai/Mistral-7B-v0.3,0.375,,,wikitext2,2048,8192,,sdpa,float16,1,1419.00,1.65e+03,1.33,NVIDIA A40,44.99,16.00,completed,last_successful_step=final_evaluation; reference_config=results/runs/depth_mistral7b_s0.375_seed1/layer_drop_config.txt; calibration_seed=1; dropped_attn_modules=12; dropped_mlp_modules=12; protect_layer_zero=0,outputs/experiments/baseline_late_layer_mistral7b_s0.375_seed1_retry1
2026-06-02,baseline_late_layer_mistral7b_s0.50_seed1_retry1,depth_baseline_late_layer,mistralai/Mistral-7B-v0.3,0.50,,,wikitext2,2048,8192,,sdpa,float16,1,4992.00,4.34e+03,1.20,NVIDIA A40,44.99,16.00,completed,last_successful_step=final_evaluation; reference_config=results/runs/depth_mistral7b_s0.50_seed1/layer_drop_config.txt; calibration_seed=1; dropped_attn_modules=16; dropped_mlp_modules=16; protect_layer_zero=0,outputs/experiments/baseline_late_layer_mistral7b_s0.50_seed1_retry1
2026-06-02,depth_mistral7b_s0.375_seed2,depth_evo,mistralai/Mistral-7B-v0.3,0.375,10,8,wikitext2,2048,8192,kl,sdpa,float16,2,40.19,2.85e+01,9.38,NVIDIA A40,44.99,16.00,completed,last_successful_step=final_evaluation; dropped_attn_modules=12; dropped_mlp_modules=12,outputs/experiments/depth_mistral7b_s0.375_seed2
2026-06-02,depth_mistral7b_s0.375_seed3,depth_evo,mistralai/Mistral-7B-v0.3,0.375,10,8,wikitext2,2048,8192,kl,sdpa,float16,3,47.91,4.19e+01,9.35,NVIDIA A40,44.99,16.00,completed,last_successful_step=final_evaluation; dropped_attn_modules=12; dropped_mlp_modules=12,outputs/experiments/depth_mistral7b_s0.375_seed3
2026-06-02,sparse_db_tinyllama_qproj_s0.50,sparse_db,TinyLlama/TinyLlama-1.1B-Chat-v1.0,0.50,,,wikitext2,1024,4096,,sdpa,float16,0,,,0.12,Tesla T4,15.00,16.00,failed,last_successful_step=sparse_database_process_started; command_exit_code=1; prunable_modules=.*layers.*q_proj$; num_levels=3; metadata_present=0; generated_module_dirs=0; generated_level_files=0; database_size_mb=0; max_cpu_memory_gb=2.15; max_gpu_memory_gb=0.00; last_progress=,outputs/experiments/sparse_db_tinyllama_qproj_s0.50
2026-06-02,sparse_db_tinyllama_qproj_s0.50_retry1,sparse_db,TinyLlama/TinyLlama-1.1B-Chat-v1.0,0.50,,,wikitext2,1024,4096,,sdpa,float16,0,,,1.68,Tesla T4,15.00,16.00,completed,last_successful_step=sparse_database_generated; prunable_modules=.*layers.*q_proj$; num_levels=3; metadata_present=1; generated_module_dirs=22; generated_level_files=154; database_size_mb=1233; max_cpu_memory_gb=10.31; max_gpu_memory_gb=0.89,outputs/experiments/sparse_db_tinyllama_qproj_s0.50_retry1
2026-06-03,sparse_search_tinyllama_qproj_s0.50_g20_seed0,sparse_search,TinyLlama/TinyLlama-1.1B-Chat-v1.0,0.50,20,8,wikitext2,1024,4096,kl,sdpa,float16,0,,,0.08,NVIDIA A40,44.99,16.00,failed,last_successful_step=sparse_search_process_started; command_exit_code=1; parser_exit_code=0; sparse_weights_path=outputs/experiments/sparse_db_tinyllama_qproj_s0.50_retry1/sparse_db; max_cpu_memory_gb=1.56; max_gpu_memory_gb=0.00,outputs/experiments/sparse_search_tinyllama_qproj_s0.50_g20_seed0
2026-06-03,sparse_search_tinyllama_qproj_s0.50_g20_seed0_retry1,sparse_search,TinyLlama/TinyLlama-1.1B-Chat-v1.0,0.50,20,8,wikitext2,1024,4096,kl,sdpa,float16,0,9.00,9.83,6.18,NVIDIA A40,44.99,16.00,completed,"last_successful_step=final_evaluation; sparse_weights_path=outputs/experiments/sparse_db_tinyllama_qproj_s0.50_retry1/sparse_db; configuration_name=sparse_search_tinyllama_qproj_s0.50_g20_seed0_retry1_final_configuration.txt; final_search_point=[3,3,0,-2,1,-2,-1,-1,-1,-1,-2,-1,3,0,-1,2,-1,0,0,1,-1,1]; max_cpu_memory_gb=6.80; max_gpu_memory_gb=2.68",outputs/experiments/sparse_search_tinyllama_qproj_s0.50_g20_seed0_retry1
